,Регион,2013 г.,2014 г.,2015 г.,2016 г.,2017 г.,2018 г.,2019 г.
0,Центральный федеральный округ,4.5,4.59,4.09,4.09,4.2,3.9,4.3
1,Белгородская область,5.0,5.0,4.4,4.4,4.4,4.4,4.2
2,Брянская область,4.7,5.8,4.8,4.7,4.5,4.5,4.5
3,Владимирская область,4.9,4.8,4.2,4.0,4.2,4.0,4.0
4,Воронежская область,5.0,4.8,4.09,4.09,4.09,4.09,4.4
5,Ивановская область,4.7,4.8,4.09,4.09,4.0,3.9,4.09
6,Калужская область,4.4,5.0,4.4,4.5,4.59,4.4,4.9
7,Костромская область,5.09,5.2,4.3,4.2,4.3,4.0,4.4
8,Курская область,4.2,5.2,4.5,4.4,4.4,4.4,4.4
9,Липецкая область,4.9,4.9,4.3,4.2,4.3,4.09,4.3
10,Московская область,5.0,5.0,4.59,4.59,4.7,3.9,4.9
11,Орловская область,4.3,5.2,4.5,4.3,4.4,3.8,4.5
12,Рязанская область,4.9,4.8,4.4,4.3,4.5,4.2,4.5
13,Смоленская область,5.3,5.4,4.7,4.5,4.5,4.4,4.59
14,Тамбовская область,4.7,4.59,4.09,3.9,4.0,3.8,4.0
15,Тверская область,4.8,5.0,4.4,4.2,4.4,4.3,4.4
16,Тульская область,5.0,5.0,4.09,4.09,4.2,4.09,4.2
17,Ярославская область,5.09,5.0,4.3,4.09,4.09,4.0,4.3
18,Город Москва столица Российской Федерации город федерального значения,3.8,3.7,3.6,3.5,3.6,3.5,3.8
19,Северо-Западный федеральный округ,5.2,5.2,4.59,4.59,4.59,4.59,4.7
20,Республика Карелия,5.3,5.2,4.3,4.5,4.4,4.0,4.59
21,Республика Коми,5.6,5.6,4.8,4.8,5.0,4.59,4.7
22,Архангельская область,5.4,5.3,4.3,4.3,4.3,4.3,4.3
23,Ненецкий автономный округ (Архангельская область),5.6,5.3,4.0,4.2,3.1,3.7,4.0
24,Архангельская область (кроме Ненецкого автономного округа),5.4,5.3,4.4,4.3,4.3,4.3,4.3
25,Вологодская область,4.5,4.7,3.7,3.9,4.0,3.9,4.0
26,Калининградская область,6.0,5.7,5.4,5.3,5.09,5.2,5.5
27,Ленинградская область,4.8,4.59,4.09,4.09,4.09,4.09,4.09
28,Мурманская область,6.3,6.2,5.4,5.5,5.3,5.2,5.4
29,Новгородская область,4.5,5.0,4.5,4.5,4.59,4.4,4.7
30,Псковская область,5.0,4.8,4.2,4.3,4.4,4.3,4.09
31,Город Санкт-Петербург город федерального значения,5.2,5.2,4.7,4.8,4.7,4.8,5.0
32,Южный федеральный округ (с 2010 года),4.7,4.9,4.4,,,,
33,Республика Адыгея (Адыгея),4.3,4.09,3.5,3.6,3.6,3.6,3.7
34,Республика Калмыкия,4.5,4.5,3.7,3.8,3.6,3.7,3.8
35,Республика Крым,0.0,2.7,3.0,3.3,3.5,3.6,3.7
36,Краснодарский край,5.0,5.0,4.59,4.59,4.5,3.8,4.8
37,Астраханская область,5.2,5.09,4.3,4.2,4.09,4.09,4.0
38,Волгоградская область,4.8,4.7,4.09,4.09,4.09,3.9,4.09
39,Ростовская область,4.2,4.8,4.3,4.3,4.3,4.09,4.3
40,Город федерального значения Севастополь,0.0,2.8,4.0,4.5,4.5,4.4,4.59
41,Северо-Кавказский федеральный округ,2.5,2.5,2.29,2.29,2.29,2.1,2.29
42,Республика Дагестан,1.7,1.7,1.6,1.6,1.5,1.4,1.6
43,Республика Ингушетия,1.0,0.9,0.8,0.9,0.8,0.8,0.8
44,Кабардино-Балкарская Республика,2.5,2.5,2.5,2.8,2.8,2.4,2.6
45,Карачаево-Черкесская Республика,2.9,3.5,3.4,3.1,3.0,3.2,3.1
46,Республика Северная Осетия-Алания,2.5,2.8,2.6,2.6,2.6,2.5,2.6
47,Чеченская Республика,1.0,0.9,0.8,0.9,0.8,0.5,0.8
48,Ставропольский край,4.3,4.3,3.9,3.8,3.7,3.5,3.8
49,Приволжский федеральный округ,4.3,4.59,3.9,3.9,3.9,3.8,3.9
50,Республика Башкортостан,4.5,4.5,3.9,3.8,3.8,3.8,3.8
51,Республика Марий Эл,4.3,4.5,3.7,3.7,3.6,3.8,3.5
52,Республика Мордовия,4.2,3.9,3.3,3.3,3.3,3.3,3.2
53,Республика Татарстан (Татарстан),3.6,3.9,3.5,3.5,3.5,3.5,3.4
54,Удмуртская Республика,4.0,4.3,3.5,3.5,3.5,2.6,3.5
55,Чувашская Республика - Чувашия,3.8,3.9,3.3,3.3,3.2,3.2,3.2
56,Пермский край,4.7,4.8,4.0,4.2,4.2,4.09,4.2
57,Кировская область,4.9,5.0,4.09,4.09,4.09,3.9,4.0
58,Нижегородская область,4.0,4.9,4.09,4.0,4.2,3.9,4.2
59,Оренбургская область,4.3,5.2,4.4,4.4,4.3,4.3,4.3
60,Пензенская область,4.8,4.8,4.0,3.9,4.0,3.8,4.0
